epoch:1-1: loss:4.853653907775879
epoch:1-51: loss:3.0617830753326416
epoch:1-101: loss:2.5639395713806152
epoch:1-151: loss:2.4224040508270264
epoch:1-201: loss:3.1673150062561035
epoch:1-251: loss:3.1289119720458984
epoch:2-1: loss:2.6939120292663574
epoch:2-51: loss:1.4533123970031738
epoch:2-101: loss:1.6434085369110107
epoch:2-151: loss:1.825073480606079
epoch:2-201: loss:2.5961177349090576
epoch:2-251: loss:2.5027213096618652
epoch:3-1: loss:2.2007317543029785
epoch:3-51: loss:3.07460355758667
epoch:3-101: loss:0.9663693904876709
epoch:3-151: loss:1.6408376693725586
epoch:3-201: loss:3.141676902770996
epoch:3-251: loss:1.9592832326889038
epoch:4-1: loss:1.7044503688812256
epoch:4-51: loss:1.7073503732681274
epoch:4-101: loss:1.1397535800933838
epoch:4-151: loss:1.768547534942627
epoch:4-201: loss:3.072291612625122
epoch:4-251: loss:0.9916203618049622
epoch:5-1: loss:1.4008872509002686
epoch:5-51: loss:0.9777611494064331
epoch:5-101: loss:3.0881786346435547
epoch:5-151: loss:3.018606424331665
epoch:5-201: loss:1.5910518169403076
epoch:5-251: loss:2.4813685417175293
epoch:6-51: loss:1.3956553936004639
epoch:6-101: loss:1.7044321298599243
epoch:6-151: loss:2.0434279441833496
epoch:6-201: loss:1.6373097896575928
epoch:6-251: loss:3.0744333267211914
epoch:7-1: loss:1.7284648418426514
epoch:7-51: loss:2.560988426208496
epoch:7-101: loss:1.4046707153320312
epoch:7-151: loss:0.8728092312812805
epoch:7-201: loss:1.450627088546753
epoch:7-251: loss:2.460198402404785
epoch:8-1: loss:1.9909029006958008
epoch:8-51: loss:2.523832082748413
epoch:8-101: loss:1.4528347253799438
epoch:8-151: loss:1.8404041528701782
epoch:8-201: loss:2.548619031906128
epoch:8-251: loss:2.6957664489746094
epoch:9-1: loss:1.2051407098770142
epoch:9-51: loss:1.8540353775024414
epoch:9-101: loss:1.6382193565368652
epoch:9-151: loss:0.8465563058853149
epoch:9-201: loss:1.8050079345703125
epoch:9-251: loss:2.5181655883789062
epoch:10-1: loss:1.7953665256500244
epoch:10-51: loss:1.0044050216674805
epoch:10-101: loss:1.1335949897766113
epoch:10-151: loss:0.891846239566803
epoch:10-201: loss:2.596383810043335
epoch:10-251: loss:1.4176592826843262
epoch:11-1: loss:1.750928521156311
epoch:11-51: loss:0.9626903533935547
epoch:11-101: loss:3.156064510345459
epoch:11-151: loss:1.7295209169387817
epoch:11-201: loss:1.9117960929870605
epoch:11-251: loss:0.9831231236457825
epoch:12-1: loss:3.0334055423736572
epoch:12-51: loss:1.785330057144165
epoch:12-101: loss:3.0072989463806152
epoch:12-151: loss:0.7771031260490417
epoch:12-201: loss:1.0240672826766968
epoch:12-251: loss:3.869743824005127
epoch:13-1: loss:1.6139578819274902
epoch:13-51: loss:0.992613673210144
epoch:13-101: loss:0.16762298345565796
epoch:13-151: loss:2.2644762992858887
epoch:13-201: loss:0.556768536567688
epoch:13-251: loss:1.3387386798858643
epoch:14-1: loss:1.506739854812622
epoch:14-51: loss:1.53001070022583
epoch:14-101: loss:1.5524868965148926
epoch:14-151: loss:0.029811358079314232
epoch:14-201: loss:0.014057706110179424
epoch:14-251: loss:1.661832571029663
epoch:15-1: loss:3.976893901824951
epoch:15-51: loss:3.1348578929901123
epoch:15-101: loss:0.00959611777216196
epoch:15-151: loss:2.8755009174346924
epoch:15-201: loss:1.536346673965454
epoch:15-251: loss:1.62013578414917
epoch:16-1: loss:2.0182945728302
epoch:16-51: loss:1.377566933631897
epoch:16-101: loss:1.6373071670532227
epoch:16-151: loss:0.6497828364372253
epoch:16-201: loss:1.3214218616485596
epoch:16-251: loss:2.0810935497283936
epoch:17-1: loss:2.92427921295166
epoch:17-51: loss:1.626395344734192
epoch:17-101: loss:1.576904296875
epoch:17-151: loss:1.5814341306686401
epoch:17-201: loss:3.0298032760620117
epoch:17-251: loss:1.5505836009979248
epoch:18-1: loss:1.3435007333755493
epoch:18-51: loss:0.8197743892669678
epoch:18-101: loss:0.008867746219038963
epoch:18-151: loss:2.2876081466674805
epoch:18-201: loss:2.7000391483306885
epoch:18-251: loss:0.6388609409332275
epoch:19-1: loss:1.5648283958435059
epoch:19-51: loss:0.008332676254212856
epoch:19-101: loss:0.7262462973594666
epoch:19-151: loss:1.4314006567001343
epoch:19-201: loss:2.050394296646118
epoch:19-251: loss:1.5424941778182983
epoch:20-1: loss:1.1660341024398804
epoch:20-51: loss:1.6184725761413574
epoch:20-101: loss:1.1040585041046143
epoch:20-151: loss:1.2931158542633057
epoch:20-201: loss:1.0438425540924072
epoch:20-251: loss:0.8764427900314331
epoch:21-1: loss:1.3697181940078735
epoch:21-51: loss:1.4700186252593994
epoch:21-101: loss:1.5887739658355713
epoch:21-151: loss:1.816366195678711
epoch:21-201: loss:0.8574565649032593
epoch:21-251: loss:1.0862536430358887
epoch:22-1: loss:1.504104495048523
epoch:22-51: loss:2.9730589389801025
epoch:22-101: loss:0.761355996131897
epoch:22-151: loss:1.9672694206237793
epoch:22-201: loss:0.8382426500320435
epoch:22-251: loss:0.782772421836853
epoch:23-1: loss:0.4865797460079193
epoch:23-51: loss:1.5771796703338623
epoch:23-101: loss:1.7764201164245605
epoch:23-151: loss:0.003259363118559122
epoch:23-201: loss:1.694225549697876
epoch:23-251: loss:2.222728729248047
epoch:24-1: loss:1.154393196105957
epoch:24-51: loss:2.7039361000061035
epoch:24-101: loss:1.3630529642105103
epoch:24-151: loss:1.4586560726165771
epoch:24-201: loss:1.7751374244689941
epoch:24-251: loss:0.5658033490180969
epoch:25-1: loss:1.5850815773010254
epoch:25-51: loss:0.004346795845776796
epoch:25-101: loss:1.2660647630691528
epoch:25-151: loss:1.442386269569397
epoch:25-201: loss:1.67632257938385
epoch:25-251: loss:0.9029124975204468
epoch:26-1: loss:1.950058937072754
epoch:26-51: loss:1.7157238721847534
epoch:26-101: loss:0.6566446423530579
epoch:26-151: loss:2.150102376937866
epoch:26-201: loss:1.6033823490142822
epoch:26-251: loss:0.69857257604599
epoch:27-1: loss:1.4744272232055664
epoch:27-51: loss:2.317605495452881
epoch:27-101: loss:0.8022393584251404
epoch:27-151: loss:1.6979256868362427
epoch:27-201: loss:2.5900630950927734
epoch:27-251: loss:1.3598229885101318
epoch:28-1: loss:2.435692548751831
epoch:28-51: loss:1.6435270309448242
epoch:28-101: loss:0.8335652351379395
epoch:28-151: loss:1.2556560039520264
epoch:28-201: loss:1.7314183712005615
epoch:28-251: loss:1.2797484397888184
epoch:29-1: loss:0.5723528265953064
epoch:29-51: loss:1.4237325191497803
epoch:29-101: loss:1.4366555213928223
epoch:29-151: loss:1.5528827905654907
